index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 1, Census Tract 8089, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:808900> block group:1",187500,314,975,1303,0,19,1408,41.9,1427,1307,9,655,636,232,,,696200,170318089001
"Block Group 3, Census Tract 8089, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:808900> block group:3",127019,458,1419,1824,12,97,2068,46.1,1875,1928,14,864,829,186,,,488800,170318089003
"Block Group 1, Census Tract 8098, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:809800> block group:1",83750,360,704,776,27,72,1003,33.9,1450,939,27,637,590,188,,,472200,170318098001
"Block Group 3, Census Tract 8101, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:810100> block group:3",87115,172,519,551,96,66,775,37.1,1204,618,48,440,392,133,,,363800,170318101003
"Block Group 4, Census Tract 8101, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:810100> block group:4",80083,157,391,407,74,0,506,40.5,1520,455,17,277,247,15,,,392600,170318101004
"Block Group 1, Census Tract 8101, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:810100> block group:1",60612,151,453,396,0,49,575,34.8,1321,530,0,405,405,110,,,291400,170318101001
"Block Group 2, Census Tract 8101, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:810100> block group:2",57944,254,966,607,441,192,1289,44.1,1148,1266,1,789,788,157,,,435200,170318101002
"Block Group 1, Census Tract 8083.02, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:808302> block group:1",112708,371,938,492,44,181,1271,42.4,2130,1192,8,744,736,54,,,305600,170318083021
"Block Group 3, Census Tract 8093, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:809300> block group:3",30791,260,860,858,199,76,1484,28.5,745,1423,22,519,479,33,,,469200,170318093003
"Block Group 1, Census Tract 8093, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:809300> block group:1",-666666666,110,652,820,63,40,923,45.6,360,900,0,354,354,109,,,624200,170318093001
"Block Group 2, Census Tract 4805, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:480500> block group:2",20781,108,642,35,625,231,900,43.2,742,827,55,400,345,110,,,123100,170314805002
"Block Group 1, Census Tract 2831, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:283100> block group:1",43304,179,773,133,875,78,1468,26.7,1299,1313,71,704,624,283,,,489300,170312831001
"Block Group 2, Census Tract 3007, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:300700> block group:2",41346,85,924,0,0,1496,1496,30.4,849,1338,27,709,647,144,,,187500,170313007002
"Block Group 1, Census Tract 3008, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:300800> block group:1",28250,0,980,36,0,1854,1902,25.9,810,1786,129,767,638,152,,,166900,170313008001
"Block Group 1, Census Tract 7103, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:710300> block group:1",35568,72,948,0,1350,152,1544,33.3,997,1412,183,693,489,130,,,156300,170317103001
"Block Group 2, Census Tract 7205, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:720500> block group:2",109063,334,875,1143,25,132,1311,43.0,1136,1303,17,714,691,104,,,264100,170317205002
"Block Group 1, Census Tract 7205, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:720500> block group:1",121042,186,461,534,0,52,598,45.4,-666666666,575,4,366,345,25,,,282700,170317205001
"Block Group 2, Census Tract 7206, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:720600> block group:2",113239,258,671,738,186,10,944,45.9,666,835,36,523,487,160,,,360700,170317206002
"Block Group 2, Census Tract 7301, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:730100> block group:2",42500,134,571,9,843,0,852,36.9,-666666666,786,66,360,286,27,,,125000,170317301002
"Block Group 3, Census Tract 7301, Cook County, Illinois: Summary level: 150, state:17> county:031> tract:730100> block group:3",67014,60,591,0,796,12,808,45.3,1580,754,93,389,287,68,,,155200,170317301003
