index,median_household_income,edu_bachelors,edu_total_over_25,race_white,race_black,race_hispanic,total_population,median_age,median_gross_rent,lang_total,emp_unemployed,emp_labor_force,commute_total,commute_public_transit,poverty_count,poverty_universe,median_housing_value,GEOID
"Block Group 1; Census Tract 101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010100> block group:1",98575,126,405,234,0,196,461,53.6,-666666666,455,32,396,364,20,,,288100,170310101001
"Block Group 2; Census Tract 101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010100> block group:2",25474,233,1048,449,922,314,1715,31.4,1221,1497,148,967,786,257,,,560500,170310101002
"Block Group 3; Census Tract 101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010100> block group:3",81917,677,1739,1079,425,410,2108,46.8,1380,2108,112,1626,1514,542,,,283800,170310101003
"Block Group 1; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:1",74563,117,1321,680,515,368,2412,32.2,1384,2154,115,1159,1033,198,,,185400,170310102011
"Block Group 2; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:2",43314,275,948,267,709,370,1621,26.8,1242,1490,18,835,774,290,,,436700,170310102012
"Block Group 3; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:3",-666666666,89,1336,248,708,497,1998,40.7,1145,1694,16,598,563,66,,,-666666666,170310102013
"Block Group 4; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:4",54612,236,1273,362,999,768,2179,31.1,1230,1979,8,1248,1240,280,,,-666666666,170310102014
"Block Group 1; Census Tract 102.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010202> block group:1",45833,261,1085,488,435,223,1354,49.0,1120,1287,13,531,518,199,,,223200,170310102021
"Block Group 2; Census Tract 102.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010202> block group:2",82854,384,978,372,510,333,1511,33.1,1285,1405,120,961,817,258,,,174300,170310102022
"Block Group 1; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:1",71250,313,782,673,132,41,908,55.0,1342,908,18,455,437,154,,,269200,170310103001
"Block Group 2; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:2",80156,552,2175,1164,850,632,2819,46.6,1603,2606,41,1534,1493,197,,,283900,170310103002
"Block Group 3; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:3",50664,280,1202,815,209,70,1305,51.9,1064,1280,38,660,622,223,,,399400,170310103003
"Block Group 4; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:4",70956,583,989,512,268,313,1205,37.7,1224,1180,45,874,829,180,,,229500,170310103004
"Block Group 1; Census Tract 104; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010400> block group:1",69833,381,800,766,48,70,901,37.7,1232,878,0,700,680,186,,,298100,170310104001
"Block Group 2; Census Tract 104; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010400> block group:2",49156,386,876,657,133,114,963,38.1,1172,918,21,715,694,242,,,167000,170310104002
"Block Group 3; Census Tract 104; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010400> block group:3",-666666666,340,986,1928,173,194,2609,20.9,1082,2609,55,960,876,291,,,217300,170310104003
"Block Group 1; Census Tract 105.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:1",22072,185,609,362,312,85,828,36.2,989,828,121,616,495,274,,,213300,170310105011
"Block Group 2; Census Tract 105.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:2",47908,516,1144,879,346,26,1320,33.4,1156,1279,49,1036,987,377,,,146300,170310105012
"Block Group 3; Census Tract 105.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:3",58237,604,1383,1391,131,119,1765,38.0,1259,1650,41,1157,1085,234,,,398300,170310105013
