,B19013_001E,B15003_017E,B15003_022E,B03002_003E,B03002_004E,B03002_012E,B01001_001E,B23025_004E,B08301_001E,B17001_002E,B25077_001E
"Block Group 1; Census Tract 101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010100> block group:1",81471,234,138,223,288,89,646,387,387,,367800
"Block Group 2; Census Tract 101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010100> block group:2",30865,163,230,356,735,271,1395,777,737,,540700
"Block Group 3; Census Tract 101; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010100> block group:3",74190,110,407,718,353,449,1685,1155,1155,,267000
"Block Group 1; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:1",87629,242,106,539,495,626,2195,1154,1145,,221500
"Block Group 2; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:2",39212,175,260,273,265,866,1664,765,765,,291000
"Block Group 3; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:3",48014,224,62,183,919,415,1810,604,604,,275000
"Block Group 4; Census Tract 102.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010201> block group:4",75211,200,256,411,622,715,1919,1167,1167,,-666666666
"Block Group 1; Census Tract 102.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010202> block group:1",46319,228,324,508,474,261,1437,635,635,,229900
"Block Group 2; Census Tract 102.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010202> block group:2",78333,37,332,459,475,162,1172,679,657,,235300
"Block Group 1; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:1",54130,136,320,521,128,50,766,425,425,,-666666666
"Block Group 2; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:2",74906,401,561,1542,515,695,2944,1555,1555,,257000
"Block Group 3; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:3",44738,160,324,601,370,154,1299,713,713,,442900
"Block Group 4; Census Tract 103; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010300> block group:4",78185,0,380,430,285,527,1302,1064,971,,306000
"Block Group 1; Census Tract 104; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010400> block group:1",63295,12,328,616,64,39,735,569,549,,255700
"Block Group 2; Census Tract 104; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010400> block group:2",49723,70,308,609,78,106,829,577,577,,202100
"Block Group 3; Census Tract 104; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010400> block group:3",-666666666,55,363,1948,154,195,2718,1058,1024,,509400
"Block Group 1; Census Tract 105.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:1",-666666666,6,250,403,189,202,825,565,551,,176700
"Block Group 2; Census Tract 105.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:2",47309,17,451,699,351,38,1210,799,799,,151600
"Block Group 3; Census Tract 105.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010501> block group:3",60152,71,456,1115,102,91,1484,1021,1010,,428900
"Block Group 1; Census Tract 105.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010502> block group:1",61154,75,348,1128,204,131,1617,945,945,,250000
"Block Group 2; Census Tract 105.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010502> block group:2",61513,92,422,981,241,223,1712,1096,1062,,318900
"Block Group 1; Census Tract 105.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010503> block group:1",19492,203,223,1205,228,37,1899,888,851,,555900
"Block Group 2; Census Tract 105.03; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010503> block group:2",66750,18,127,583,281,48,945,521,491,,-666666666
"Block Group 1; Census Tract 106; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010600> block group:1",66928,196,647,1267,560,1017,2959,1964,1964,,301100
"Block Group 2; Census Tract 106; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010600> block group:2",123304,72,246,708,180,55,1111,515,515,,543200
"Block Group 3; Census Tract 106; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010600> block group:3",68454,60,530,912,290,81,1564,1017,1006,,246800
"Block Group 4; Census Tract 106; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010600> block group:4",72865,126,420,751,91,119,1074,642,642,,161600
"Block Group 1; Census Tract 107.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010701> block group:1",-666666666,118,397,450,326,354,1354,870,758,,357700
"Block Group 2; Census Tract 107.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010701> block group:2",74422,140,650,811,529,682,2219,1342,1328,,344000
"Block Group 1; Census Tract 107.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:1",60400,155,227,388,516,357,1412,717,697,,239000
"Block Group 2; Census Tract 107.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:2",55844,138,133,141,62,538,755,379,335,,-666666666
"Block Group 3; Census Tract 107.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:3",55615,44,395,366,741,265,1463,854,854,,212500
"Block Group 4; Census Tract 107.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:010702> block group:4",82917,127,203,261,659,616,1536,610,562,,161600
"Block Group 1; Census Tract 201; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020100> block group:1",81728,333,255,601,943,366,2086,1144,1138,,276800
"Block Group 2; Census Tract 201; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020100> block group:2",52019,244,342,243,654,757,1980,1112,1064,,243400
"Block Group 1; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:1",89000,212,282,1317,66,37,1827,580,495,,437800
"Block Group 2; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:2",84041,194,71,299,30,759,1101,487,458,,574200
"Block Group 3; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:3",119688,169,378,1055,120,543,2331,1022,983,,389100
"Block Group 4; Census Tract 202; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020200> block group:4",151650,75,388,638,231,760,1972,937,888,,352200
"Block Group 1; Census Tract 203.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020301> block group:1",75011,312,471,1671,17,167,1908,749,749,,173900
"Block Group 2; Census Tract 203.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020301> block group:2",79779,139,534,1192,6,9,1593,707,701,,227800
"Block Group 3; Census Tract 203.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020301> block group:3",115000,30,161,1113,74,38,1398,465,465,,761600
"Block Group 1; Census Tract 203.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020302> block group:1",85378,142,241,719,179,167,1168,490,490,,290400
"Block Group 2; Census Tract 203.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020302> block group:2",97993,86,317,1307,1,226,1687,648,648,,458200
"Block Group 3; Census Tract 203.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020302> block group:3",72330,310,422,1432,166,178,2004,810,810,,275500
"Block Group 1; Census Tract 204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020400> block group:1",94038,234,219,249,140,769,1208,756,675,,440800
"Block Group 2; Census Tract 204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020400> block group:2",91250,72,466,559,617,66,1460,624,624,,382200
"Block Group 3; Census Tract 204; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020400> block group:3",74205,205,321,733,316,409,1657,909,882,,269600
"Block Group 1; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:1",45208,511,441,355,962,31,3392,1357,1296,,158100
"Block Group 2; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:2",97782,379,128,270,44,1024,1519,778,778,,312500
"Block Group 3; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:3",-666666666,90,89,489,65,22,1101,378,378,,176700
"Block Group 4; Census Tract 205; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020500> block group:4",-666666666,146,83,234,73,66,784,269,234,,-666666666
"Block Group 1; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:1",111518,4,231,887,0,374,1350,594,594,,505900
"Block Group 2; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:2",61954,125,807,1647,134,334,3372,1325,1272,,-666666666
"Block Group 3; Census Tract 206.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020601> block group:3",28198,32,162,249,43,187,1239,430,377,,203900
"Block Group 1; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:1",66596,57,171,288,119,146,1187,378,378,,302100
"Block Group 2; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:2",-666666666,106,224,154,56,329,1187,536,536,,412700
"Block Group 3; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:3",88250,154,161,110,148,684,1155,601,546,,420000
"Block Group 4; Census Tract 206.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020602> block group:4",-666666666,29,961,1111,134,265,1646,1223,1223,,564900
"Block Group 1; Census Tract 207.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020701> block group:1",93846,55,199,531,52,193,955,483,483,,492200
"Block Group 2; Census Tract 207.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020701> block group:2",107500,108,176,377,62,58,714,372,364,,419200
"Block Group 1; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:1",-666666666,329,135,377,148,275,1361,580,490,,118100
"Block Group 2; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:2",67031,400,113,563,22,964,2189,1016,1000,,321400
"Block Group 3; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:3",67300,336,461,636,20,502,2758,961,955,,253300
"Block Group 4; Census Tract 207.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020702> block group:4",93005,157,253,1396,216,325,2168,977,977,,-666666666
"Block Group 1; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:1",55707,153,252,619,0,139,827,444,444,,377800
"Block Group 2; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:2",90166,149,245,494,504,244,1391,991,441,,451800
"Block Group 3; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:3",91406,246,251,810,232,393,1569,793,622,,292400
"Block Group 4; Census Tract 208.01; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020801> block group:4",58516,374,207,688,0,541,1661,843,843,,364300
"Block Group 1; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:1",110278,139,205,701,0,304,1360,582,538,,396400
"Block Group 2; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:2",58791,243,534,579,2,777,2844,989,982,,453000
"Block Group 3; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:3",61265,177,166,581,387,896,2593,1050,1006,,-666666666
"Block Group 4; Census Tract 208.02; Cook County; Illinois: Summary level: 150, state:17> county:031> tract:020802> block group:4",66085,111,254,255,2,598,2014,562,562,,-666666666
